Merek,Model,Varian,Tahun,harga,Jarak tempuh,Tipe bahan bakar,Transmisi,Kapasitas mesin
Honda,HR-V,1.8 RS Bensin-AT,2016,232000000.0,77500.0,Bensin,Automatic,1.8
Daihatsu,Terios,1.5 X Bensin-MT,2019,185000000.0,42500.0,Bensin,Manual,1.5
Daihatsu,Ayla,1.0 D Bensin-MT,2022,104000000.0,2500.0,Bensin,Manual,1.0
Toyota,Kijang Innova,2.0 G Bensin-MT,2021,267000000.0,102500.0,Bensin,Manual,2.0
Toyota,Fortuner,2.4 VRZ TRD Solar-AT,2018,399000000.0,97500.0,Diesel,Automatic,2.4
Toyota,Raize,1.0 GR Sport Two Tone Bensin-AT,2022,229500000.0,2500.0,Bensin,Automatic,1.0
Mitsubishi,Pajero Sport,2.5 Dakar Solar-AT,2015,279000000.0,157500.0,Diesel,Automatic,2.5
Toyota,Kijang Innova,2.4 V Solar-AT,2021,385000000.0,42500.0,Diesel,Automatic,2.4
Toyota,Avanza,1.3 G Bensin-MT,2012,118000000.0,97500.0,Bensin,Manual,1.3
Honda,Brio,1.2 Satya E Bensin-MT,2014,104000000.0,102500.0,Bensin,Manual,1.2
Toyota,Rush,1.5 G Bensin-MT,2011,116000000.0,127500.0,Bensin,Manual,1.5
Mitsubishi,Pajero,2.4 Solar-AT,2017,380000000.0,87500.0,Diesel,Automatic,2.4
Nissan,Grand livina,1.2 XV Bensin-MT,2012,85000000.0,127500.0,Bensin,Manual,1.2
Toyota,Kijang Innova,2.0 E Bensin-MT,2015,155000000.0,82500.0,Bensin,Manual,2.0
Toyota,Avanza,1.3 Veloz Bensin-AT,2017,165000000.0,42500.0,Bensin,Automatic,1.3
Nissan,March,1.2 Bensin-MT,2012,78000000.0,47500.0,Bensin,Manual,1.2
Honda,Jazz,1.5 RS Bensin-MT,2018,185000000.0,47500.0,Bensin,Manual,1.5
Mitsubishi,Mirage,1.2 GLX Bensin-MT,2015,78000000.0,57500.0,Bensin,Manual,1.2
Daihatsu,Sigra,1.2 R Bensin-MT,2018,127000000.0,62500.0,Bensin,Manual,1.2
Daihatsu,Sigra,1.0 M Bensin-MT,2020,114000000.0,27500.0,Bensin,Manual,1.0
Daihatsu,Sigra,1.0 D Bensin-MT,2020,100000000.0,77500.0,Bensin,Manual,1.0
Toyota,Yaris,1.5 G Bensin-AT,2016,148000000.0,117500.0,Bensin,Automatic,1.5
Daihatsu,Sigra,1.0 D Bensin-MT,2020,90000000.0,82500.0,Bensin,Manual,1.0
Honda,HR-V,1.5 S Bensin-AT,2015,179500000.0,62500.0,Bensin,Automatic,1.5
Toyota,Voxy,2.0 Bensin-AT,2018,325000000.0,62500.0,Bensin,Automatic,2.0
Toyota,Avanza,1.3 G Bensin-MT,2021,154000000.0,32500.0,Bensin,Manual,1.3
Honda,Brio Satya,1.2 E Bensin-AT,2022,161000000.0,27500.0,Bensin,Automatic,1.2
Mazda,2,1.5 GT Skyactiv Bensin-AT,2015,170000000.0,87500.0,Bensin,Automatic,1.5
Honda,CR-V,1.5 Turbo Prestige Bensin-AT,2017,340000000.0,67500.0,Bensin,Automatic,1.5
Mazda,CX-5,2.5 Touring Bensin-AT,2013,180000000.0,107500.0,Bensin,Automatic,2.5
Hyundai,Creta,1.5 Prime IVT Two tone Bensin-AT,2022,305000000.0,42500.0,Bensin,Automatic,1.5
Nissan,Grand livina,1.5 SV Facelift Bensin-MT,2013,92000000.0,97500.0,Bensin,Manual,1.5
Toyota,Vios,1.5 G Bensin-MT,2010,86500000.0,137500.0,Bensin,Manual,1.5
Toyota,Kijang Innova,2.4 G Solar-AT,2016,280000000.0,77500.0,Diesel,Automatic,2.4
Suzuki,Ertiga,1.4 GX Bensin-AT,2017,150000000.0,97500.0,Bensin,Automatic,1.4
Toyota,Kijang Innova,2.0 G Bensin-AT,2017,247000000.0,97500.0,Bensin,Automatic,2.0
Daihatsu,Sigra,1.2 X Bensin-MT,2018,118000000.0,37500.0,Bensin,Manual,1.2
Daihatsu,Ayla,1.0 D+ Bensin-MT,2021,99000000.0,17500.0,Bensin,Manual,1.0
Toyota,Avanza,1.3 G Bensin-MT,2016,136500000.0,122500.0,Bensin,Manual,1.3
Honda,Mobilio,1.5 Prestige Bensin-AT,2014,115500000.0,107500.0,Bensin,Automatic,1.5
Honda,HR-V,1.5 SE Bensin-AT,2023,370000000.0,12500.0,Bensin,Automatic,1.5
Honda,Brio Satya,1.2 E Bensin-AT,2017,127500000.0,102500.0,Bensin,Automatic,1.2
BMW,X3,2.0 xDrive20i xLine Bensin-AT,2019,480000000.0,82500.0,Bensin,Automatic,2.0
Toyota,Kijang Innova,2.4 G Solar-AT,2018,320000000.0,77500.0,Diesel,Automatic,2.4
Mazda,CX-5,2.5 Grand Touring Bensin-AT,2015,265000000.0,72500.0,Bensin,Automatic,2.5
Isuzu,Panther,Pick Up 2.5-MT,2000,63000000.0,202500.0,Diesel,Manual,2.5
Honda,CR-V,2.4 Bensin-AT,2015,229000000.0,62500.0,Bensin,Automatic,2.4
Honda,Mobilio,1.5 E Bensin-AT,2014,120000000.0,227500.0,Bensin,Automatic,1.5
Toyota,Kijang Innova,2.5 V Solar-AT,2012,235000000.0,182500.0,Diesel,Automatic,2.5
Toyota,Avanza,1.5 G TSS Bensin-AT,2021,214000000.0,32500.0,Bensin,Automatic,1.5
Honda,Brio,1.2 E Bensin-AT,2015,112000000.0,87500.0,Bensin,Automatic,1.2
Toyota,Agya,1.0 TRD Sportivo Bensin-MT,2015,93000000.0,157500.0,Bensin,Manual,1.0
Toyota,Kijang,1.8 KF72 Bensin-MT,2001,56000000.0,182500.0,Bensin,Manual,1.8
BMW,325i,3.0 E90 L6 Bensin-AT,2006,125000000.0,122500.0,Bensin,Automatic,3.0
Honda,Brio Satya,1.2 E Bensin-MT,2017,125000000.0,72500.0,Bensin,Manual,1.2
Toyota,Avanza,1.3 G Bensin-MT,2008,88000000.0,97500.0,Bensin,Manual,1.3
Honda,Brio,1.2 E Limited Edition Bensin-AT,2017,120000000.0,72500.0,Bensin,Automatic,1.2
Toyota,Agya,1.0 G TRD Sportivo Bensin-AT,2016,108500000.0,37500.0,Bensin,Automatic,1.0
Suzuki,Ertiga,1.4 GL Bensin-MT,2017,125000000.0,117500.0,Bensin,Manual,1.4
Mazda,CX-3,2.0 Touring Bensin-AT,2017,255000000.0,67500.0,Bensin,Automatic,2.0
Mitsubishi,Pajero Sport,2.4 Dakar 4x2 Solar-AT,2017,370000000.0,177500.0,Diesel,Automatic,2.4
